iter	Logloss
0	0.6790602107
1	0.6667053244
2	0.6555969408
3	0.6460849319
4	0.6375977507
5	0.6292021891
6	0.6217165535
7	0.6153396109
8	0.6092103928
9	0.6037667549
10	0.5878652743
11	0.5415441007
12	0.492504652
13	0.4738294063
14	0.4676016579
15	0.4649298126
16	0.4382467748
17	0.4196145298
18	0.3606890538
19	0.3492960169
20	0.3391792718
21	0.3205966619
22	0.3054888698
23	0.2652077723
24	0.2630992913
25	0.2412625256
26	0.2376656496
27	0.2105820842
28	0.1859421585
29	0.1711954886
30	0.1681113233
31	0.1653997607
32	0.1644293764
33	0.1638688588
34	0.159143408
35	0.156813447
36	0.1222235255
37	0.1054677788
38	0.1052738068
39	0.10280084
40	0.09465905052
41	0.08543498413
42	0.08532847539
43	0.08522579372
44	0.08413939687
45	0.08161758542
46	0.07237888386
47	0.07005691045
48	0.05803325688
49	0.05726183833
50	0.05204327399
51	0.04577309169
52	0.03955921997
53	0.03773946866
54	0.03649505827
55	0.03514150419
56	0.03391937354
57	0.03283934191
58	0.03057657745
59	0.02897151009
60	0.02760969848
61	0.0264607583
62	0.02637709403
63	0.02548888917
64	0.02507309362
65	0.02421359843
66	0.02420743803
67	0.02333823296
68	0.02324021472
69	0.02307422861
70	0.02253083609
71	0.02184736606
72	0.02141586544
73	0.02140594347
74	0.02137090472
75	0.02127843422
76	0.02126141475
77	0.0212417782
78	0.02112628084
79	0.02097667476
80	0.02094953335
81	0.02093777545
82	0.02092815692
83	0.02091715847
84	0.02087335993
85	0.02075915289
86	0.02074948392
87	0.02066817752
88	0.02050060169
89	0.02031517848
90	0.02030718801
91	0.02023668771
92	0.02021521164
93	0.02005400678
94	0.01998591322
95	0.01997615089
96	0.01995586292
97	0.01994197443
98	0.01993066322
99	0.01953039684
100	0.01934282317
101	0.01898555175
102	0.01893617777
103	0.01877863071
104	0.01873866184
105	0.01865006881
106	0.01864131143
107	0.01857934482
108	0.01856134483
109	0.01855518231
110	0.01854772867
111	0.01853878533
112	0.01852893171
113	0.0185023272
114	0.01846830745
115	0.01844237275
116	0.01844237097
117	0.0184359677
118	0.01842903132
119	0.01829614195
120	0.01829271645
121	0.01828512152
122	0.01803097324
123	0.01790312159
124	0.01763806114
125	0.0176182123
126	0.01760695962
127	0.01738842326
128	0.0173383462
129	0.01732794069
130	0.01731851499
131	0.01731404507
132	0.0173097535
133	0.01729278814
134	0.01727297599
135	0.01709998213
136	0.01704519291
137	0.01701449658
138	0.01686045685
139	0.01682549318
140	0.01677745866
141	0.01675799931
142	0.01674967552
143	0.01661274063
144	0.01660303106
145	0.01658003143
146	0.01657090875
147	0.01656435837
148	0.01655538111
149	0.01655121998
150	0.01626506272
151	0.01624788688
152	0.01617517704
153	0.01607170535
154	0.01604013102
155	0.01595485495
156	0.01589372868
157	0.01587741071
158	0.01583255063
159	0.01567311354
160	0.01565832996
161	0.01550400964
162	0.01550399073
163	0.01537790076
164	0.015340537
165	0.01511192261
166	0.01505364972
167	0.01501726362
168	0.0150040205
169	0.01498336731
170	0.01497636164
171	0.01497052609
172	0.0149526935
173	0.01491766042
174	0.01486254879
175	0.01483608392
176	0.01479052207
177	0.0147777963
178	0.0147704246
179	0.01471509547
180	0.01469887953
181	0.0146347095
182	0.01462980925
183	0.01445345337
184	0.01417732907
185	0.01409868824
186	0.01409004532
187	0.01408589981
188	0.01406922634
189	0.01395130263
190	0.01383930284
191	0.01372840692
192	0.01372020003
193	0.01367449558
194	0.01366541523
195	0.01365865619
196	0.01365287034
197	0.01364644177
198	0.01360353087
199	0.01359258369
200	0.0135695521
201	0.01355488448
202	0.01347231529
203	0.013466337
204	0.01345557559
205	0.01344271502
206	0.01342334511
207	0.01338274753
208	0.01337748272
209	0.01336912638
210	0.01336441831
211	0.0133384623
212	0.01332695229
213	0.01332694353
214	0.01325244784
215	0.0132119041
216	0.01320779782
217	0.0132066458
218	0.01320171662
219	0.01315767936
220	0.0131576614
221	0.01314287159
222	0.01313383505
223	0.01310354581
224	0.01309004178
225	0.01308483758
226	0.0130522913
227	0.01304632268
228	0.013038336
229	0.01293015683
230	0.0128524409
231	0.01285243394
232	0.01284695946
233	0.01281631429
234	0.01281008695
235	0.01273557667
236	0.01266983334
237	0.01262671984
238	0.0126183169
239	0.01260370803
240	0.01258558203
241	0.01257799828
242	0.012569149
243	0.01256914482
244	0.01255863333
245	0.01255352975
246	0.01254436433
247	0.01248304084
248	0.01247637017
249	0.01244288101
250	0.01242753696
251	0.01242753272
252	0.01240736643
253	0.01240068439
254	0.0123813164
255	0.0123769125
256	0.01236697193
257	0.01236469466
258	0.01236121623
259	0.01235848192
260	0.01235124599
261	0.01230571159
262	0.01229991164
263	0.01229988739
264	0.01229988739
265	0.01229449049
266	0.01223041171
267	0.01222587653
268	0.01222587387
269	0.01221936245
270	0.0122038036
271	0.01219782026
272	0.01215049601
273	0.01215048675
274	0.01215048517
275	0.01215046185
276	0.01214960239
277	0.0121155889
278	0.01210900344
279	0.01204000116
280	0.01203514961
281	0.01201957871
282	0.01200921299
283	0.01200836232
284	0.01191498554
285	0.01190802238
286	0.01188073322
287	0.01188072791
288	0.01188071699
289	0.01188066319
290	0.01187564688
291	0.01173260111
292	0.01173259057
293	0.01173002707
294	0.01172652904
295	0.01167186081
296	0.01166715425
297	0.01166025952
298	0.0116209123
299	0.0116181928
